0,1,2,3,4,level,real_label,entid,risk,rate_0,rate_1,rate_2,rate_3
0.0,0.0,1.0,0.0,0.0,C,2.0,122697049,1.0,0.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,C,1.0,959830672,1.0,0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,C,1.0,564421968,1.0,0.0,1.0,0.0,0.0
0.0066244774,0.009783091,0.06374394,0.7323065,0.187542,C,-1.0,620868429,0.8124580083999999,0.00815362434920889,0.012041349705280351,0.07845813487091231,0.9013468910745985
0.0008745497999999999,0.0006941488000000001,0.023939943,0.17770141,0.79678994,S,-1.0,1176966297,0.2032100516,0.004303673923185008,0.0034159176405622253,0.11780885252233263,0.8744715559139202
0.0,1.0,0.0,0.0,0.0,C,1.0,658987796,1.0,0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,C,2.0,1189216366,1.0,0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0,0.0,C,2.0,1002985609,1.0,0.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,C,1.0,366200269,1.0,0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,C,1.0,959453158,1.0,0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,C,1.0,1114628681,1.0,0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,C,1.0,191956142,1.0,0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,C,2.0,805505073,1.0,0.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,C,1.0,127466506,1.0,0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,C,1.0,103517987,1.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,C,3.0,927879748,1.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0,0.0,C,3.0,923269747,1.0,0.0,0.0,0.0,1.0
