,entid,ENTTYPE,INDUSTRYPHY,REGCAP,EXENUM,ASSGRO,LIAGRO,MAIBUSINC,PROGRO,NETINC,RATGRO,TOTEQU,address
0,1002985609,Business Management,Transport and storage,1000.0,1.0,1169.6356028990174,239.79440481797675,0.0516792125691946,-0.3401650043897369,0.4215097916443912,0.2614561584687769,930.7177185416716,Wuhan
1,103517987,Translation service,Education,83.7,0.0,598.4887266690347,493.29867974482073,-0.42359938372644795,-0.0719994629460434,0.5443312843598209,-0.2192159058973361,105.63321861589682,Wuhan
2,923269747,Energy Technology,"Water supply; sewage treatment, waste management and remediation activities, construction industry",10000.0,0.0,1088.7544662502232,86.21815043787718,0.2833871944956971,-411.4290958272806,-411.5438737607109,-0.8649503865000259,999.205136706304,Urumqi
3,559790998,Graphic design,Education,1000.0,0.0,386991.4327560007,423428.24443443015,-1.007080479219892,-8164.5707963324685,-8168.315694425972,0.6963020487419876,-36437.27858503424,Tianjin
4,758076239,Earthwork,Human health and social work activities,4500.0,0.0,4498.294245166248,-0.0530189083415453,1.0061117337605934,1.5614823873866406,1.7609731836717948,0.7934310807841103,4500.300755251744,Nanjing
5,337502360,Building Decoration Engineering,Accommodation service activities,100000.0,0.0,19934.66844107932,723.2526312054805,1.5806809753635531,-75.44441007391859,-76.37773813390592,-0.0762630919103668,19210.75949264416,Shanghai
6,731050139,Biological Technology,"Electricity, gas, steam and air-conditioning supply",40000.0,0.0,425644.7253308493,412602.736563906,21943.37049058067,1546.0967567171087,1150.4442757923566,885.1834403135254,13040.724339588944,Haikou
7,880847377,Power Technology,"Water supply; sewage treatment, waste management and remediation activities, construction industry",50.0,0.0,56.85516286648904,4.460545794976938,20.35949844802812,1.1555214621037613,1.8405263273543604,-0.6644487464274395,52.66089991625035,Changsha
8,606816694,New material,"Electricity, gas, steam and air-conditioning supply",300.0,0.0,2671.7190819407533,2003.4990885483228,1364.4227546973405,125.60069478076065,109.85758830885663,15.773018467711367,667.3089227566801,Harbin
9,221832261,Housing Agency,"Agriculture, forestry and fishery",3700.0,0.0,3618.479406328802,0.4748625171281314,1.773790328115522,0.0533419899333156,0.5869596634117958,-0.24186940479054503,3619.90223738382,Macao
10,1133220134,Graphic design,"Agriculture, forestry and fishery",61224.9,0.0,999.7708672414018,0.3558546385901211,0.7200148460270148,0.6811957846819828,-1.05371947094622,1.1626739028106579,1001.6424865095964,Hefei
11,873360537,Investment Advisory,"The family’s activity as an employer; the family’s self-use, undifferentiated production of goods and services",1280.0,0.0,3643.4997397823763,3899.8861562282536,-0.3708161623678724,-253.54228979645413,-256.1599784688913,0.0071045387926353,-255.92374382772343,Macao
12,102673201,Labor dispatch,Mining and quarrying,5000.0,0.0,5.382611074767528,-1.2774841134348591,-1.284146948293853,-20.94818950515377,-16.14872634068483,0.1330349777028097,1.191228851823101,Nanning
13,252045506,Investment Advisory,Education,1000.0,0.0,1882.655369276954,882.8217741208083,29.531955428074106,-0.7323041289607904,0.4581397754814906,0.7094386033391944,997.93417488494,Xi'an
14,220448783,Etiquette service,"Water supply; sewage treatment, waste management and remediation activities, construction industry",5000.0,0.0,3.2441758031220798,24.43536434945233,-1.277871925576177,-33.791799828136604,-32.62140478242762,-0.5277091322828281,-23.668098658427386,Hefei
15,211101804,Energy Technology,Real estate activity,110.0,0.0,68.18722689387003,1.2778810549436703,0.5626771966671379,-7.00504113599984,-6.521988990043048,-0.8714246585993476,68.91196075442578,Changchun
16,547440553,Biological Technology,Transport and storage,1000.0,0.0,1103290.348166053,24951.98539247715,-0.6520926102732432,-21438.069986545,-21522.63247025187,0.287110229948425,-21664.947893177992,Shijiazhuang
17,691454697,Investment Advisory,Other service activities,100.0,0.0,67.05043285472331,23.871077014924307,-0.0101218208426939,-21.7621628113534,-23.19935689303815,-1.5508633607823181,45.402588049354236,Taipei
18,969723121,Environmental Technology,Accommodation service activities,3000.0,0.0,-1.1227124673856863,0.5396553088670987,0.7702559564188156,-0.2837539574314399,-0.4963980746163564,-0.3712405930412843,1.4106272863885772,Hohhot
19,575004686,Biological Technology,Mining and quarrying,100.0,0.0,98.11633980733788,0.4344597789756453,0.055048371423665,-1.1842150620299794,-2.5414898364163694,0.5707989381807997,99.39358888312462,Wuhan
20,36393553,Real Estate Company,Public administration and national defense; compulsory social security,100.0,0.0,922301.084615628,922301.2070375516,-1.7262117507807109,-4438.33508206344,-4437.113365055764,-0.6176802801373479,922301.5055551941,Yinchuan
21,643995819,Real estate development,"Water supply; sewage treatment, waste management and remediation activities, construction industry",30.0,0.0,-2.3062045795362702,0.2206944151959209,0.2051119400261123,-0.1800748165174948,-0.7218617987108299,1.1334683017489526,-1.6405356363722912,Nanning
22,100724777,Architectural design,"Electricity, gas, steam and air-conditioning supply",3000.0,0.0,2957.342844340347,-0.991625027188507,17.265403150251373,-3.450089388343755,-1.169399781193384,-1.213242017767009,2955.5546271856874,Hohhot
